epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7234,1.32679,5.35739,1.24439,0.12249,0.40285,0.23006,0.17869,1.08033,5.07197,1.06473,0.00260726,0.00260726,0.0765347
2,27.3728,1.05793,2.76664,1.09066,0.57105,0.5317,0.53831,0.37433,1.28652,3.19355,1.04961,0.00460021,0.00460021,0.052125
3,36.9131,1.00488,2.05783,1.04528,0.72439,0.58841,0.62015,0.48463,1.05339,2.57787,1.01854,0.00594177,0.00594177,0.0270639
4,46.395,0.9666,1.73403,1.02333,0.73176,0.66015,0.66769,0.52081,1.00527,1.99021,0.93492,0.00629931,0.00629931,0.00629931
5,56.5301,0.93592,1.62452,1.01671,0.74718,0.65373,0.68835,0.55293,0.90447,2.0498,0.91649,0.00506575,0.00506575,0.00506575
6,68.0344,0.86743,1.44552,0.98482,0.72595,0.71188,0.70568,0.56305,0.94952,1.9406,0.93214,0.00383219,0.00383219,0.00383219
7,78.0352,0.83292,1.35237,0.97418,0.79368,0.7308,0.74115,0.60592,0.82764,1.62348,0.86932,0.00259862,0.00259862,0.00259862
8,88.287,0.81669,1.30692,0.96613,0.85064,0.71661,0.75231,0.6297,0.76348,1.55493,0.84619,0.00136506,0.00136506,0.00136506
