epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3222.25,0.72056,0.77479,0.94371,0.85886,0.8264,0.84372,0.68545,0.78121,1.0348,0.9202,0.00644236,0.00644236,0.00644236
43,3263.92,0.70496,0.73544,0.93389,0.81306,0.86177,0.85499,0.67623,0.85651,1.0025,0.92285,0.00629285,0.00629285,0.00629285
44,3305.78,0.71343,0.76215,0.94377,0.85605,0.84075,0.85612,0.70345,0.75159,0.98413,0.88756,0.00614212,0.00614212,0.00614212
45,3352.94,0.7077,0.74129,0.93949,0.86713,0.82775,0.85775,0.68501,0.82087,0.9735,0.89516,0.00599034,0.00599034,0.00599034
46,3394.92,0.69366,0.73557,0.93787,0.86294,0.8474,0.86362,0.68839,0.83134,1.01451,0.89407,0.00583764,0.00583764,0.00583764
47,3436.72,0.70134,0.7372,0.93347,0.87313,0.85746,0.8647,0.69991,0.76016,0.95357,0.88725,0.00568418,0.00568418,0.00568418
48,3479.2,0.69714,0.7263,0.92772,0.87926,0.83416,0.86199,0.71046,0.75442,1.01182,0.89579,0.0055301,0.0055301,0.0055301
49,3521.8,0.6876,0.72184,0.93473,0.87381,0.85172,0.86369,0.70808,0.7634,0.95245,0.90141,0.00537557,0.00537557,0.00537557
50,3564.6,0.6886,0.71249,0.93217,0.85716,0.87147,0.86148,0.70554,0.75437,0.97484,0.89271,0.00522074,0.00522074,0.00522074
51,3609.69,0.69496,0.72106,0.93485,0.86084,0.86639,0.86334,0.70759,0.76681,0.94553,0.90223,0.00506575,0.00506575,0.00506575
52,3652.3,0.68058,0.69425,0.92936,0.88038,0.84087,0.86593,0.71689,0.74966,0.93338,0.89308,0.00491076,0.00491076,0.00491076
53,3695.33,0.66699,0.68157,0.92168,0.8851,0.85844,0.86864,0.71866,0.74623,0.91338,0.88505,0.00475593,0.00475593,0.00475593
54,3738.11,0.66184,0.68972,0.92476,0.88802,0.86403,0.86845,0.71067,0.76556,0.91649,0.888,0.0046014,0.0046014,0.0046014
55,3780.52,0.65633,0.67338,0.92032,0.85263,0.85641,0.86496,0.71949,0.72789,0.95962,0.88934,0.00444732,0.00444732,0.00444732
56,3822.9,0.66607,0.67878,0.92858,0.87979,0.85873,0.87002,0.71562,0.74246,0.93729,0.88084,0.00429386,0.00429386,0.00429386
57,3865.38,0.65496,0.65752,0.9201,0.87816,0.86774,0.87904,0.72257,0.74355,0.88659,0.88607,0.00414116,0.00414116,0.00414116
58,3907.94,0.65116,0.65111,0.92033,0.88385,0.85961,0.87981,0.718,0.76262,0.91454,0.90221,0.00398938,0.00398938,0.00398938
59,3950.85,0.65268,0.66176,0.92129,0.91025,0.85357,0.88508,0.7288,0.726,0.87337,0.87999,0.00383865,0.00383865,0.00383865
60,4001.94,0.64993,0.66064,0.91813,0.86091,0.8747,0.87456,0.72221,0.70886,0.92165,0.87125,0.00368914,0.00368914,0.00368914
61,4043.81,0.63971,0.65176,0.91382,0.90573,0.84745,0.88041,0.72467,0.73645,0.90025,0.88128,0.00354098,0.00354098,0.00354098
62,4085.24,0.63715,0.64198,0.91435,0.869,0.86368,0.87094,0.72284,0.72054,0.90486,0.8701,0.00339433,0.00339433,0.00339433
63,4126.02,0.63786,0.63747,0.91476,0.87623,0.86447,0.87129,0.70145,0.7895,0.92843,0.9086,0.00324933,0.00324933,0.00324933
64,4166.14,0.62955,0.62592,0.91143,0.88811,0.85807,0.86717,0.72217,0.71443,0.87507,0.87627,0.00310612,0.00310612,0.00310612
65,4207.62,0.62883,0.62179,0.90712,0.88294,0.88366,0.87663,0.72547,0.73461,0.88096,0.88976,0.00296485,0.00296485,0.00296485
66,4248.96,0.61901,0.61205,0.91095,0.90472,0.86392,0.87625,0.72356,0.73298,0.86033,0.88042,0.00282565,0.00282565,0.00282565
67,4295.16,0.61907,0.60499,0.90833,0.88438,0.87161,0.87397,0.72834,0.72449,0.84985,0.87209,0.00268866,0.00268866,0.00268866
68,4337.33,0.6125,0.59611,0.90134,0.87385,0.87121,0.87662,0.72483,0.71916,0.86084,0.87756,0.00255401,0.00255401,0.00255401
69,4379.63,0.60932,0.60549,0.90374,0.8672,0.87558,0.87099,0.73292,0.71107,0.8437,0.8796,0.00242185,0.00242185,0.00242185
70,4423.29,0.60601,0.59252,0.90625,0.88859,0.87252,0.88218,0.72658,0.73175,0.85724,0.87034,0.00229229,0.00229229,0.00229229
71,4466.45,0.60598,0.59307,0.90506,0.8819,0.87114,0.87229,0.72199,0.73005,0.84829,0.85964,0.00216547,0.00216547,0.00216547
72,4509.11,0.5993,0.57587,0.89788,0.90517,0.86507,0.8854,0.73932,0.69004,0.84422,0.86553,0.00204151,0.00204151,0.00204151
73,4552.61,0.59568,0.58024,0.90254,0.89675,0.86576,0.88332,0.73647,0.7193,0.83729,0.87777,0.00192054,0.00192054,0.00192054
74,4595.66,0.5982,0.5846,0.90279,0.89793,0.8792,0.885,0.73755,0.6971,0.83802,0.86969,0.00180267,0.00180267,0.00180267
75,4638.12,0.58616,0.56682,0.89885,0.88915,0.86837,0.88605,0.73838,0.7085,0.85285,0.87809,0.00168802,0.00168802,0.00168802
76,4681.42,0.5899,0.57424,0.89891,0.89979,0.8711,0.88508,0.73289,0.70462,0.83662,0.86438,0.00157671,0.00157671,0.00157671
77,4723.55,0.5831,0.58181,0.89889,0.88671,0.88631,0.88616,0.74606,0.684,0.82383,0.85803,0.00146884,0.00146884,0.00146884
78,4766.29,0.581,0.56402,0.89445,0.89218,0.8744,0.87916,0.72925,0.72054,0.83593,0.86701,0.00136451,0.00136451,0.00136451
79,4808.62,0.58504,0.568,0.89845,0.88687,0.88501,0.88619,0.73975,0.71413,0.84465,0.85885,0.00126385,0.00126385,0.00126385
80,4851.48,0.5782,0.56037,0.89692,0.90301,0.87768,0.88309,0.73978,0.6826,0.82456,0.85241,0.00116693,0.00116693,0.00116693
81,4895.76,0.57678,0.56102,0.89378,0.90395,0.8772,0.88786,0.73942,0.69441,0.81839,0.85566,0.00107386,0.00107386,0.00107386
82,4938.48,0.56605,0.5449,0.89299,0.89567,0.88443,0.88309,0.7348,0.69547,0.8092,0.85903,0.000984728,0.000984728,0.000984728
83,4980.66,0.57011,0.55105,0.89562,0.89743,0.88134,0.88177,0.74185,0.67282,0.81965,0.849,0.000899625,0.000899625,0.000899625
84,5023.27,0.56956,0.5505,0.89373,0.90524,0.87365,0.88172,0.74112,0.6797,0.82587,0.85668,0.000818634,0.000818634,0.000818634
85,5065.87,0.56774,0.54713,0.89314,0.89232,0.88305,0.88113,0.73062,0.72616,0.82791,0.85902,0.000741834,0.000741834,0.000741834
86,5108.18,0.56505,0.54777,0.89395,0.88915,0.8841,0.88475,0.74286,0.68845,0.82716,0.85337,0.000669301,0.000669301,0.000669301
87,5165.81,0.56322,0.54031,0.89499,0.90352,0.87907,0.88602,0.74608,0.67251,0.81119,0.84722,0.000601107,0.000601107,0.000601107
88,5244.04,0.55284,0.53266,0.88777,0.8935,0.87611,0.88791,0.74443,0.69839,0.82138,0.86354,0.000537319,0.000537319,0.000537319
89,5314.31,0.55202,0.53279,0.89059,0.89027,0.88035,0.88649,0.74245,0.67452,0.80694,0.85363,0.000478,0.000478,0.000478
90,5393.82,0.55692,0.54028,0.89001,0.88971,0.88231,0.8886,0.73747,0.69401,0.81233,0.86237,0.000423209,0.000423209,0.000423209
91,5464.07,0.58508,0.53796,0.89648,0.88198,0.87793,0.87808,0.73547,0.70322,0.82384,0.87213,0.000372999,0.000372999,0.000372999
92,5535.47,0.56715,0.50634,0.88685,0.8791,0.88347,0.88097,0.73743,0.69519,0.82177,0.86397,0.000327421,0.000327421,0.000327421
93,5605.38,0.56101,0.48891,0.88074,0.90115,0.86466,0.87964,0.74081,0.68765,0.82113,0.85907,0.000286519,0.000286519,0.000286519
94,5658.6,0.55612,0.48274,0.87941,0.9013,0.8724,0.88136,0.7387,0.69069,0.81581,0.85875,0.000250333,0.000250333,0.000250333
95,5717.05,0.55388,0.48938,0.8802,0.90734,0.86877,0.88264,0.74194,0.68572,0.80991,0.85671,0.000218899,0.000218899,0.000218899
96,5786.5,0.55541,0.47655,0.87745,0.89352,0.87741,0.88442,0.74365,0.68556,0.81015,0.85577,0.000192249,0.000192249,0.000192249
97,5856.94,0.55458,0.47874,0.87528,0.88964,0.87897,0.88472,0.74409,0.67929,0.79965,0.85313,0.000170408,0.000170408,0.000170408
98,5927.28,0.55103,0.48217,0.87842,0.90288,0.87485,0.88844,0.7478,0.68471,0.80573,0.85672,0.000153398,0.000153398,0.000153398
99,5996.66,0.54773,0.47589,0.87693,0.9054,0.8723,0.88597,0.74664,0.68241,0.8123,0.85418,0.000141237,0.000141237,0.000141237
100,6069.88,0.544,0.47529,0.87594,0.90554,0.87089,0.88633,0.7438,0.69095,0.81339,0.85604,0.000133935,0.000133935,0.000133935
