epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2005.35,0.65061,0.61449,0.91872,0.87926,0.85728,0.86724,0.72276,0.71654,0.83662,0.87812,0.00644236,0.00644236,0.00644236
43,2046.59,0.63486,0.58298,0.9088,0.90461,0.86799,0.878,0.71733,0.75524,0.83461,0.88871,0.00629285,0.00629285,0.00629285
44,2088.33,0.64845,0.60045,0.92134,0.89946,0.85939,0.87482,0.72186,0.71077,0.83041,0.87541,0.00614212,0.00614212,0.00614212
45,2129.32,0.63922,0.58855,0.91325,0.87588,0.88466,0.87994,0.716,0.75406,0.81328,0.8876,0.00599034,0.00599034,0.00599034
46,2170.2,0.62466,0.57791,0.91317,0.89311,0.87856,0.88257,0.73068,0.7372,0.80457,0.87191,0.00583764,0.00583764,0.00583764
47,2211.5,0.63388,0.58012,0.91028,0.90028,0.86744,0.87129,0.71813,0.74861,0.85583,0.90299,0.00568418,0.00568418,0.00568418
48,2252.43,0.62697,0.57762,0.90359,0.90268,0.88557,0.8827,0.73125,0.72861,0.83641,0.87141,0.0055301,0.0055301,0.0055301
49,2293.66,0.61416,0.56691,0.91019,0.89852,0.86634,0.87899,0.73597,0.71392,0.83102,0.86886,0.00537557,0.00537557,0.00537557
50,2335.32,0.61864,0.55991,0.90927,0.88307,0.86418,0.8751,0.7253,0.73951,0.80863,0.87294,0.00522074,0.00522074,0.00522074
51,2376.93,0.61972,0.56195,0.90831,0.89118,0.85986,0.8829,0.72692,0.74543,0.84482,0.87798,0.00506575,0.00506575,0.00506575
52,2418.85,0.60954,0.54682,0.90329,0.89451,0.88267,0.8871,0.73839,0.7135,0.82142,0.87972,0.00491076,0.00491076,0.00491076
53,2460.53,0.59655,0.54113,0.89524,0.8942,0.86935,0.88051,0.74067,0.69288,0.84432,0.84702,0.00475593,0.00475593,0.00475593
54,2501.38,0.58886,0.54261,0.90041,0.89785,0.88697,0.89457,0.74505,0.69113,0.76012,0.84949,0.0046014,0.0046014,0.0046014
55,2542.57,0.58545,0.52639,0.89544,0.88279,0.8741,0.88717,0.73758,0.71806,0.81613,0.86805,0.00444732,0.00444732,0.00444732
56,2584.38,0.59114,0.52711,0.90404,0.89746,0.889,0.88561,0.73918,0.69746,0.79968,0.86154,0.00429386,0.00429386,0.00429386
